Borough,region,Males,Females,population
Bronx,"Riverdale, Fieldston & Kingsbridge",51598.0,61481.0,113079.0
Bronx,"Wakefield, Williamsbridge & Woodlawn",65216.0,78387.0,143604.0
Bronx,"Co-op City, Pelham Bay & Schuylerville",55037.0,65204.0,120241.0
Bronx,"Pelham Parkway, Morris Park & Laconia",60974.0,67982.0,128956.0
Bronx,"Belmont, Crotona Park East & East Tremont",77119.0,89293.0,166411.0
Bronx,"Bedford Park, Fordham North & Norwood",63169.0,68921.0,132090.0
Bronx,"Morris Heights, Fordham South & Mount Hope",65682.0,72967.0,138648.0
Bronx,"Concourse, Highbridge & Mount Eden",68152.0,75978.0,144129.0
Bronx,"Castle Hill, Clason Point & Parkchester",88007.0,100193.0,188201.0
Bronx,"Hunts Point, Longwood & Melrose",81666.0,79759.0,161425.0
Brooklyn,Greenpoint & Williamsburg,76748.0,77779.0,154527.0
Brooklyn,Bushwick,66695.0,67378.0,134073.0
Brooklyn,Bedford-Stuyvesant,64655.0,74558.0,139213.0
Brooklyn,Brooklyn Heights & Fort Greene,58271.0,66161.0,124432.0
Brooklyn,"Park Slope, Carroll Gardens & Red Hook",53112.0,58760.0,111871.0
Brooklyn,Crown Heights North & Prospect Heights,57936.0,70196.0,128131.0
Brooklyn,Brownsville & Ocean Hill,54311.0,68986.0,123297.0
Brooklyn,East New York & Starrett City,73196.0,86466.0,159662.0
Brooklyn,Canarsie & Flatlands,90847.0,110065.0,200912.0
Brooklyn,"East Flatbush, Farragut & Rugby",62365.0,78661.0,141026.0
Brooklyn,"Crown Heights So., Prospect Lefferts & Wingate",50493.0,61025.0,111518.0
Brooklyn,Sunset Park & Windsor Terrace,78533.0,75131.0,153664.0
Brooklyn,Bay Ridge & Dyker Heights,62055.0,65267.0,127323.0
Brooklyn,"Borough Park, Kensington & Ocean Parkway",85578.0,84056.0,169634.0
Brooklyn,Flatbush & Midwood,77849.0,86969.0,164818.0
Brooklyn,"Sheepshead Bay, Gerritsen Beach & Homecrest",73985.0,79944.0,153929.0
Brooklyn,Bensonhurst & Bath Beach,92931.0,96344.0,189275.0
Brooklyn,Brighton Beach & Coney Island,55293.0,64256.0,119550.0
Manhattan,"Washington Heights, Inwood & Marble Hill",97142.0,106275.0,203417.0
Manhattan,"Hamilton Heights, Manhattanville & West Harlem",61481.0,68085.0,129566.0
Manhattan,Central Harlem,56270.0,65431.0,121701.0
Manhattan,East Harlem,56312.0,64124.0,120435.0
Manhattan,Upper East Side,102121.0,127056.0,229177.0
Manhattan,Upper West Side & West Side,93032.0,108808.0,201840.0
Manhattan,"Chelsea, Clinton & Midtown Business District",77568.0,71985.0,149553.0
Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",71357.0,84491.0,155848.0
Manhattan,Chinatown & Lower East Side,81995.0,87276.0,169271.0
Manhattan,"Battery Park City, Greenwich Village & Soho",75851.0,78330.0,154181.0
Queens,Astoria & Long Island City,88021.0,92150.0,180171.0
Queens,Jackson Heights & North Corona,98331.0,90820.0,189150.0
Queens,"Flushing, Murray Hill & Whitestone",123550.0,134764.0,258315.0
Queens,"Bayside, Douglaston & Little Neck",58155.0,63468.0,121623.0
Queens,"Queens Village, Cambria Heights & Rosedale",90730.0,104801.0,195531.0
Queens,"Briarwood, Fresh Meadows & Hillcrest",76454.0,83163.0,159617.0
Queens,Elmhurst & South Corona,76755.0,74131.0,150886.0
Queens,Forest Hills & Rego Park,54531.0,62495.0,117027.0
Queens,Sunnyside & Woodside,70244.0,68429.0,138673.0
Queens,"Ridgewood, Glendale & Middle Village",86201.0,90134.0,176336.0
Queens,Richmond Hill & Woodhaven,73306.0,74235.0,147541.0
Queens,"Jamaica, Hollis & St. Albans",105917.0,122616.0,228533.0
Queens,Howard Beach & Ozone Park,61637.0,65928.0,127565.0
Queens,"Far Rockaway, Breezy Point & Broad Channel",56053.0,62989.0,119043.0
Staten Island,"Tottenville, Great Kills & Annadale",78800.0,82782.0,161583.0
Staten Island,New Springville & South Beach,64693.0,70437.0,135130.0
Staten Island,"Port Richmond, Stapleton & Mariner's Harbor",85549.0,91062.0,176611.0
