id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
2539,2787,Brooklyn,Kensington,Private room,149,1,9,0.21,365
2595,2845,Manhattan,Midtown,Entire home/apt,225,1,45,0.38,355
3647,4632,Manhattan,Harlem,Private room,150,3,0,,365
3831,4869,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,4.64,194
5022,7192,Manhattan,East Harlem,Entire home/apt,80,10,9,0.1,0
5099,7322,Manhattan,Murray Hill,Entire home/apt,200,3,74,0.59,129
5121,7356,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,0.4,0
5178,8967,Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,220
5203,7490,Manhattan,Upper West Side,Private room,79,2,118,0.99,0
5238,7549,Manhattan,Chinatown,Entire home/apt,150,1,160,1.33,188
5295,7702,Manhattan,Upper West Side,Entire home/apt,135,5,53,0.43,6
5441,7989,Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,39
5803,9744,Brooklyn,South Slope,Private room,89,4,167,1.34,314
6021,11528,Manhattan,Upper West Side,Private room,85,2,113,0.91,333
6090,11975,Manhattan,West Village,Entire home/apt,120,90,27,0.22,0
6848,15991,Brooklyn,Williamsburg,Entire home/apt,140,2,148,1.2,46
7097,17571,Brooklyn,Fort Greene,Entire home/apt,215,2,198,1.72,321
7322,18946,Manhattan,Chelsea,Private room,140,1,260,2.12,12
7726,20950,Brooklyn,Crown Heights,Entire home/apt,99,3,53,4.44,21
7750,17985,Manhattan,East Harlem,Entire home/apt,190,7,0,,249
7801,21207,Brooklyn,Williamsburg,Entire home/apt,299,3,9,0.07,0
8024,22486,Brooklyn,Park Slope,Private room,130,2,130,1.09,347
8025,22486,Brooklyn,Park Slope,Private room,80,1,39,0.37,364
8110,22486,Brooklyn,Park Slope,Private room,110,2,71,0.61,304
8490,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,233
8505,25326,Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,85
8700,26394,Manhattan,Inwood,Private room,80,4,0,,0
9357,30193,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,75
9518,31374,Manhattan,Inwood,Private room,44,3,108,1.11,311
9657,21904,Manhattan,East Village,Entire home/apt,180,14,29,0.24,67
9668,32294,Manhattan,Harlem,Private room,50,3,242,2.04,355
9704,32045,Manhattan,Harlem,Private room,52,2,88,1.42,255
9782,32169,Brooklyn,Greenpoint,Private room,55,4,197,1.65,284
9783,32294,Manhattan,Harlem,Private room,50,3,273,2.37,359
10452,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,269
10962,9744,Brooklyn,South Slope,Private room,89,4,168,1.41,340
11452,7355,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,,365
11708,44145,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,22
11943,45445,Brooklyn,Flatbush,Private room,150,1,0,,365
12048,7549,Manhattan,Lower East Side,Shared room,40,1,214,1.81,188
12192,46978,Manhattan,East Village,Private room,68,2,245,2.08,96
12299,47610,Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,345
12303,47618,Brooklyn,Fort Greene,Private room,120,7,25,0.23,311
12318,16800,Manhattan,Upper West Side,Private room,135,4,81,0.69,273
12343,47727,Manhattan,Harlem,Entire home/apt,150,7,97,0.84,309
12627,49670,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,0.49,95
12937,50124,Queens,Long Island City,Private room,130,3,248,2.25,215
12940,50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,265
13050,50846,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0.1,0
13394,52335,Brooklyn,Fort Greene,Private room,80,3,135,1.16,192
13808,54275,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,251
14287,56094,Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,302
14290,56104,Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,140
14314,56246,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,234
14322,56284,Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,257
14377,56512,Brooklyn,Williamsburg,Entire home/apt,150,30,105,0.9,30
14991,59023,Manhattan,Lower East Side,Private room,110,5,19,0.17,301
15220,59734,Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,294
15338,32169,Brooklyn,Greenpoint,Private room,49,4,138,1.19,320
15341,60049,Manhattan,SoHo,Entire home/apt,180,30,21,0.3,154
15385,60252,Brooklyn,Williamsburg,Private room,80,2,42,0.38,263
15396,60278,Manhattan,Chelsea,Entire home/apt,375,180,5,0.12,180
15711,61491,Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,231
